latitude,longitude,GRIDCODE
29.69889,6.70897,201.0
29.70181,6.71416,201.0
29.70242,6.70959,201.0
30.22006,7.80223,202.0
30.22346,7.80286,202.0
30.2537,8.08429,202.0
30.47201,7.0227,200.0
30.39107,7.90462,202.0
30.87588,5.64216,200.0
30.87964,5.64278,201.0
30.83593,6.5607,201.0
30.66393,8.10346,202.0
30.97672,5.76231,201.0
30.82488,8.02783,202.0
31.18744,6.78677,201.0
31.19101,6.7874,201.0
31.01602,8.16094,202.0
31.05447,8.03654,202.0
31.05508,8.03224,202.0
31.05848,8.03288,202.0
31.36148,6.0503,201.0
31.40499,5.97311,202.0
31.40563,5.96788,202.0
31.39467,6.93963,202.0
31.39529,6.9349,201.0
31.39591,6.93017,202.0
31.39885,6.93554,202.0
31.39947,6.93081,202.0
31.59231,5.95475,200.0
31.64442,5.99577,200.0
31.64507,5.99053,200.0
31.64879,5.99116,200.0
31.75252,5.22737,201.0
31.66465,6.04709,200.0
31.66271,6.06267,200.0
31.66336,6.05747,200.0
31.66401,6.05228,201.0
31.66772,6.05295,200.0
31.6605,6.06343,200.0
31.66174,6.05303,200.0
31.66112,6.05824,200.0
31.66483,6.0589,200.0
31.66545,6.05369,200.0
31.66608,6.04849,200.0
31.67786,6.04521,200.0
31.67824,6.19826,200.0
31.68751,6.18411,200.0
31.75677,6.14337,200.0
31.78691,6.06509,200.0
31.79063,6.06573,200.0
31.79933,6.05654,200.0
31.80691,5.99353,200.0
31.94213,4.99787,201.0
31.84967,6.04899,201.0
31.85032,6.04373,201.0
32.27864,3.98556,201.0
32.40491,4.00672,200.0
32.13578,6.47193,202.0
32.13642,6.46686,202.0
32.55682,3.16549,200.0
32.74202,3.17988,200.0
32.3745,6.70336,202.0
32.35477,6.97702,202.0
32.35836,6.97765,202.0
32.93226,3.24478,200.0
32.93328,3.23447,200.0
32.9377,3.23508,200.0
32.94757,3.22597,200.0
32.9318,3.2408,200.0
32.93228,3.23564,200.0
32.93275,3.23046,200.0
32.93718,3.23108,200.0
32.94651,3.22713,201.0
32.95093,3.2278,201.0
33.03994,3.37008,200.0
28.6006,7.25608,201.0
27.40894,8.8388,201.0
29.2701,6.48935,201.0
29.26655,6.48874,201.0
29.25885,6.4921,201.0
28.73642,9.79004,201.0
28.73429,9.15163,201.0
28.63494,9.78629,201.0
28.62509,9.78428,201.0
28.71162,9.03432,201.0
27.70401,9.17175,201.0
28.7149,8.94617,200.0
28.7143,8.95009,201.0
28.70231,8.93967,201.0
28.70291,8.93576,201.0
28.52812,9.12114,201.0
28.66122,7.91347,201.0
28.46685,9.05675,201.0
28.45156,9.13406,201.0
28.45096,9.13795,201.0
28.62016,7.70929,201.0
28.68667,7.19314,201.0
28.68607,7.19741,201.0
28.63836,7.5342,201.0
28.57937,7.6553,201.0
28.57598,7.65468,201.0
28.60402,7.2567,200.0
