HWSD2_SMU_ID,COARSE,SAND,SILT,CLAY,TEXTURE_USDA,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND
32023,9,55,26,19,11.0,M,1.5399999618530273,1.7000000476837158,0.6650000214576721,8.0,0.7400000095367432,9.0,15,68,30.0,30.0,100,0,1,3.799999952316284,0.20000000298023224,1
32011,9,55,26,19,11.0,M,1.5399999618530273,1.7000000476837158,0.6650000214576721,8.0,0.7400000095367432,9.0,15,68,30.0,30.0,100,0,1,3.799999952316284,0.20000000298023224,1
31988,9,55,26,19,11.0,M,1.5399999618530273,1.7000000476837158,0.6650000214576721,8.0,0.7400000095367432,9.0,15,68,30.0,30.0,100,0,1,3.799999952316284,0.20000000298023224,1
32029,9,55,26,19,11.0,M,1.5399999618530273,1.7000000476837158,0.6650000214576721,8.0,0.7400000095367432,9.0,15,68,30.0,30.0,100,0,1,3.799999952316284,0.20000000298023224,1
31889,9,55,26,19,11.0,M,1.5399999618530273,1.7000000476837158,0.6650000214576721,8.0,0.7400000095367432,9.0,15,68,30.0,30.0,100,0,1,3.799999952316284,0.20000000298023224,1
32026,9,55,26,19,11.0,M,1.5399999618530273,1.7000000476837158,0.6650000214576721,8.0,0.7400000095367432,9.0,15,68,30.0,30.0,100,0,1,3.799999952316284,0.20000000298023224,1
32020,9,55,26,19,11.0,M,1.5399999618530273,1.7000000476837158,0.6650000214576721,8.0,0.7400000095367432,9.0,15,68,30.0,30.0,100,0,1,3.799999952316284,0.20000000298023224,1
32025,9,55,26,19,11.0,M,1.5399999618530273,1.7000000476837158,0.6650000214576721,8.0,0.7400000095367432,9.0,15,68,30.0,30.0,100,0,1,3.799999952316284,0.20000000298023224,1
32024,9,55,26,19,11.0,M,1.5399999618530273,1.7000000476837158,0.6650000214576721,8.0,0.7400000095367432,9.0,15,68,30.0,30.0,100,0,1,3.799999952316284,0.20000000298023224,1
31827,26,40,29,31,5.0,M,1.5199999809265137,1.8600000143051147,0.7849999666213989,7.699999809265137,0.9900000095367432,10.0,18,56,31.0,31.0,91,0,3,27.899999618530273,0.30000001192092896,1
31833,26,40,29,31,5.0,M,1.5199999809265137,1.8600000143051147,0.7849999666213989,7.699999809265137,0.9900000095367432,10.0,18,56,31.0,31.0,91,0,3,27.899999618530273,0.30000001192092896,1
31890,26,40,29,31,5.0,M,1.5199999809265137,1.8600000143051147,0.7849999666213989,7.699999809265137,0.9900000095367432,10.0,18,56,31.0,31.0,91,0,3,27.899999618530273,0.30000001192092896,1
31826,26,40,29,31,5.0,M,1.5199999809265137,1.8600000143051147,0.7849999666213989,7.699999809265137,0.9900000095367432,10.0,18,56,31.0,31.0,91,0,3,27.899999618530273,0.30000001192092896,1
31819,26,40,29,31,5.0,M,1.5199999809265137,1.8600000143051147,0.7849999666213989,7.699999809265137,0.9900000095367432,10.0,18,56,31.0,31.0,91,0,3,27.899999618530273,0.30000001192092896,1
31974,18,61,22,17,11.0,M,1.440000057220459,1.6699999570846558,0.6480000019073486,8.100000381469727,0.7599999904632568,9.0,12,71,31.0,31.0,100,0,5,17.200000762939453,0.20000000298023224,0
31937,18,61,22,17,11.0,M,1.440000057220459,1.6699999570846558,0.6480000019073486,8.100000381469727,0.7599999904632568,9.0,12,71,31.0,31.0,100,0,5,17.200000762939453,0.20000000298023224,0
31919,18,61,22,17,11.0,M,1.440000057220459,1.6699999570846558,0.6480000019073486,8.100000381469727,0.7599999904632568,9.0,12,71,31.0,31.0,100,0,5,17.200000762939453,0.20000000298023224,0
31936,18,61,22,17,11.0,M,1.440000057220459,1.6699999570846558,0.6480000019073486,8.100000381469727,0.7599999904632568,9.0,12,71,31.0,31.0,100,0,5,17.200000762939453,0.20000000298023224,0
31922,18,61,22,17,11.0,M,1.440000057220459,1.6699999570846558,0.6480000019073486,8.100000381469727,0.7599999904632568,9.0,12,71,31.0,31.0,100,0,5,17.200000762939453,0.20000000298023224,0
31915,18,61,22,17,11.0,M,1.440000057220459,1.6699999570846558,0.6480000019073486,8.100000381469727,0.7599999904632568,9.0,12,71,31.0,31.0,100,0,5,17.200000762939453,0.20000000298023224,0
31914,18,61,22,17,11.0,M,1.440000057220459,1.6699999570846558,0.6480000019073486,8.100000381469727,0.7599999904632568,9.0,12,71,31.0,31.0,100,0,5,17.200000762939453,0.20000000298023224,0
31992,18,61,22,17,11.0,M,1.440000057220459,1.6699999570846558,0.6480000019073486,8.100000381469727,0.7599999904632568,9.0,12,71,31.0,31.0,100,0,5,17.200000762939453,0.20000000298023224,0
31976,18,61,22,17,11.0,M,1.440000057220459,1.6699999570846558,0.6480000019073486,8.100000381469727,0.7599999904632568,9.0,12,71,31.0,31.0,100,0,5,17.200000762939453,0.20000000298023224,0
31844,18,61,22,17,11.0,M,1.440000057220459,1.6699999570846558,0.6480000019073486,8.100000381469727,0.7599999904632568,9.0,12,71,31.0,31.0,100,0,5,17.200000762939453,0.20000000298023224,0
